time,vcache,global_ctr,tag,instr_ld,instr_ld_ld,instr_ld_ldu,instr_ld_lw,instr_ld_lwu,instr_ld_lh,instr_ld_lhu,instr_ld_lb,instr_ld_lbu,instr_st,instr_sm_sd,instr_sm_sw,instr_sm_sh,instr_sm_sb,instr_tagst,instr_tagfl,instr_taglv,instr_tagla,instr_afl,instr_aflinv,instr_ainv,instr_alock,instr_aunlock,instr_atomic,instr_amoswap,instr_amoor,miss_ld,miss_st,stall_miss,stall_idle,dma_read_req,dma_write_req
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[5].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[6].vcache.cache.vcache_prof,7026594,2182348800,396,0,0,396,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,3544,7020467,46,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[7].vcache.cache.vcache_prof,7026594,2182348800,74,0,0,74,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,3544,7020789,46,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[8].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[9].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3812,7020594,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[10].vcache.cache.vcache_prof,7026594,2182348800,2561,0,0,2561,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7018342,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[11].vcache.cache.vcache_prof,7026594,2182348800,1921,0,0,1921,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7018982,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,7026594,2182348800,518,0,0,518,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020385,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[16].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3766,7020640,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[17].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[18].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[19].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[20].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[21].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1314,0,1314,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020921,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[22].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[23].vcache.cache.vcache_prof,7026594,2182348800,216,0,0,216,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,4160,7020031,46,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[24].vcache.cache.vcache_prof,7026594,2182348800,371,0,0,371,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,3544,7020492,46,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[25].vcache.cache.vcache_prof,7026594,2182348800,20,0,0,20,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,3544,7020843,46,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[26].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[27].vcache.cache.vcache_prof,7026594,2182348800,2433,0,0,2433,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7018470,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[28].vcache.cache.vcache_prof,7026594,2182348800,385,0,0,385,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020518,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[29].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020902,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[30].vcache.cache.vcache_prof,7026594,2182348800,1025,0,0,1025,0,0,0,0,0, 1302,0,1302,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3698,7019715,45,43
275696800000,tb.card.fpga.CL.lv1_vcache.vcache[31].vcache.cache.vcache_prof,7026594,2182348800,1,0,0,1,0,0,0,0,0, 1302,0,1302,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,42,3426,7021010,44,42
